gall_number,thorax_length
1,6.1
2,6.2
3,6.2
4,5.1
5,4.4
6,5.7
7,6.3
8,4.5
9,6.3
10,5.4
11,5.9
12,5.9
13,5.8
14,5.6
15,6.3
16,5.9
17,5.8
18,6.5
19,5.9
20,5.2
21,5.4
22,4.3
23,6
24,5.5
25,4
26,5.8
27,4.3
28,6.1
1,6
2,5.1
3,6.2
4,6
5,4.9
6,5.1
7,6.6
8,4.5
9,6.2
10,5.3
11,5.8
12,5.9
13,5.9
14,6.4
15,6.5
16,6.1
17,6
18,6.3
19,5.2
20,5.3
21,5.5
22,4.7
23,5.8
24,6.1
25,4.2
26,5.6
27,4
28,6
1,5.7
2,6.1
3,5.3
4,5.8
5,4.7
6,5.8
7,6.4
8,4
9,5.9
10,5
11,6.3
12,5.5
13,5.4
14,6.4
15,6.1
16,6.1
17,5.9
18,6.5
19,5.7
20,5.4
21,5.2
22,4.5
23,5.7
24,5.5
25,4.3
26,5.6
27,4.4
28,5.6
1,6
2,5.3
3,6.3
4,5.9
5,4.8
6,5.5
7,6.3
8,3.7
9,6.2
10,5.3
11,5.7
12,5.5
13,5.5
14,6.1
15,6.3
16,6
17,5.7
18,7
19,5.7
20,5.3
21,6.3
22,4.4
23,5.9
24,6.1
25,4.4
26,6.1
27,4.6
28,6.5