TREATMNT,PLANT,DENSITY
1,1,87
1,1,106.1
1,1,63.7
1,1,60.1
1,1,66.1
1,1,37.9
1,1,101.4
1,1,12.3
1,1,74.7
1,1,54.7
1,2,77.5
1,2,79.4
1,2,87.9
1,2,105
1,2,98.6
1,2,85.5
1,2,60.9
1,2,57.1
1,2,83.4
1,2,117.3
1,3,84.5
1,3,132.3
1,3,127.1
1,3,107.8
1,3,118.2
1,3,79.9
1,3,142.9
1,3,96.4
1,3,107.2
1,3,49.5
2,4,94.3
2,4,116
2,4,93.4
2,4,85.1
2,4,62
2,4,95.6
2,4,104.6
2,4,86.1
2,4,80.5
2,4,68.1
2,5,139.5
2,5,147.5
2,5,125
2,5,103
2,5,128.1
2,5,104.6
2,5,106.5
2,5,126.4
2,5,118.9
2,5,86.8
2,6,134.4
2,6,151.8
2,6,104
2,6,120
2,6,119.5
2,6,62.4
2,6,142.7
2,6,117.6
2,6,156.1
2,6,138.6